EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
198,30,0,Travel_Rarely,1427,Research & Development,2,Below College,Medical,Male,35,1,Laboratory Technician,Very High,Single,2720,11162,0,Yes,No,13,Excellent,Very High,6,3,3,5,3,1
199,41,0,Travel_Frequently,857,Research & Development,10,Bachelor,Life Sciences,Male,91,4,Manager,Low,Divorced,17181,12888,4,Yes,No,13,Excellent,Medium,21,2,2,7,6,7
200,41,0,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,Male,94,1,Laboratory Technician,Low,Married,2238,6961,2,Yes,No,21,Outstanding,Very High,7,2,3,5,0,1
201,19,0,Travel_Rarely,1181,Research & Development,3,Below College,Medical,Female,79,1,Laboratory Technician,Medium,Single,1483,16102,1,Yes,No,14,Excellent,Very High,1,3,3,1,0,0
202,40,0,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,Female,54,2,Research Scientist,Medium,Divorced,5605,8504,1,Yes,No,11,Excellent,Low,20,2,3,20,7,2
204,35,0,Travel_Rarely,662,Sales,1,Doctor,Marketing,Male,94,3,Sales Executive,Medium,Married,7295,11439,1,Yes,No,13,Excellent,Low,10,3,3,10,8,0
205,53,0,Travel_Rarely,1436,Sales,6,College,Marketing,Male,34,2,Sales Representative,High,Married,2306,16047,2,Yes,Yes,20,Outstanding,Very High,13,3,1,7,7,4
206,45,0,Travel_Rarely,194,Research & Development,9,Bachelor,Life Sciences,Male,60,2,Laboratory Technician,Medium,Divorced,2348,10901,8,Yes,No,18,Excellent,High,20,2,1,17,9,0
207,32,0,Travel_Frequently,967,Sales,8,Bachelor,Marketing,Female,43,3,Sales Executive,Very High,Single,8998,15589,1,Yes,No,14,Excellent,Very High,9,2,3,9,8,3
208,29,0,Non-Travel,1496,Research & Development,1,Below College,Technical Degree,Male,41,2,Manufacturing Director,High,Married,4319,26283,1,Yes,No,13,Excellent,Low,10,1,3,10,7,0
211,51,0,Travel_Rarely,1169,Research & Development,7,Master,Medical,Male,34,2,Manufacturing Director,High,Married,6132,13983,2,Yes,No,17,Excellent,High,10,2,3,1,0,0
214,58,0,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,Female,75,1,Research Scientist,Medium,Married,3346,11873,4,Yes,Yes,20,Outstanding,Medium,9,3,2,1,0,0
215,40,0,Travel_Rarely,630,Sales,4,Master,Marketing,Male,67,3,Sales Executive,Very High,Married,10855,8552,7,Yes,No,11,Excellent,Low,15,2,2,12,11,2
216,34,0,Travel_Frequently,303,Sales,2,Master,Marketing,Female,75,1,Sales Representative,High,Married,2231,11314,6,Yes,No,18,Excellent,Very High,6,3,3,4,3,1
217,22,0,Travel_Rarely,1256,Research & Development,19,Below College,Medical,Male,80,1,Research Scientist,Very High,Married,2323,11992,1,Yes,No,24,Outstanding,Low,2,6,3,2,2,2
218,27,0,Non-Travel,691,Research & Development,9,Bachelor,Medical,Male,57,1,Research Scientist,Medium,Divorced,2024,5970,6,Yes,No,18,Excellent,Very High,6,1,1,2,2,2
221,28,0,Travel_Rarely,440,Research & Development,21,Bachelor,Medical,Male,42,1,Research Scientist,Very High,Married,2713,6672,1,Yes,No,11,Excellent,High,5,2,1,5,2,0
223,57,0,Travel_Rarely,334,Research & Development,24,College,Life Sciences,Male,83,3,Healthcare Representative,Very High,Divorced,9439,23402,3,Yes,Yes,16,Excellent,Medium,12,2,1,5,3,1
224,27,0,Non-Travel,1450,Research & Development,3,Bachelor,Medical,Male,79,1,Research Scientist,High,Divorced,2566,25326,1,Yes,Yes,15,Excellent,Very High,1,2,2,1,1,0
226,50,0,Travel_Rarely,1452,Research & Development,11,Bachelor,Life Sciences,Female,53,5,Manager,Medium,Single,19926,17053,3,Yes,No,15,Excellent,Medium,21,5,3,5,4,4
227,41,0,Travel_Rarely,465,Research & Development,14,Bachelor,Life Sciences,Male,56,1,Research Scientist,High,Divorced,2451,4609,4,Yes,No,12,Excellent,Low,13,2,3,9,8,1
228,30,0,Travel_Rarely,1339,Sales,5,Bachelor,Life Sciences,Female,41,3,Sales Executive,Very High,Married,9419,8053,2,Yes,No,12,Excellent,High,12,2,3,10,9,7
230,38,0,Travel_Rarely,702,Sales,1,Master,Life Sciences,Female,59,2,Sales Executive,Very High,Single,8686,12930,4,Yes,No,22,Outstanding,High,12,2,4,8,3,0
231,32,0,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,Male,43,1,Research Scientist,High,Single,3038,12430,3,Yes,No,20,Outstanding,Low,8,2,3,5,4,1
233,27,0,Travel_Rarely,1157,Research & Development,17,Bachelor,Technical Degree,Male,51,1,Research Scientist,Medium,Married,3058,13364,0,Yes,Yes,16,Excellent,Very High,6,3,2,5,2,1
235,19,1,Travel_Frequently,602,Sales,1,Below College,Technical Degree,Female,100,1,Sales Representative,Low,Single,2325,20989,0,Yes,No,21,Outstanding,Low,1,5,4,0,0,0
238,36,0,Travel_Frequently,1480,Research & Development,3,College,Medical,Male,30,1,Laboratory Technician,Medium,Single,2088,15062,4,Yes,No,12,Excellent,High,13,3,2,8,7,7
239,30,0,Non-Travel,111,Research & Development,9,Bachelor,Medical,Male,66,2,Laboratory Technician,Low,Divorced,3072,11012,1,Yes,No,11,Excellent,High,12,4,3,12,9,6
240,45,0,Travel_Rarely,1268,Sales,4,College,Life Sciences,Female,30,2,Sales Executive,Low,Divorced,5006,6319,4,Yes,Yes,11,Excellent,Low,9,3,4,5,4,0
241,56,0,Travel_Rarely,713,Research & Development,8,Bachelor,Life Sciences,Female,67,1,Research Scientist,Low,Divorced,4257,13939,4,Yes,Yes,18,Excellent,High,19,3,3,2,2,2
242,33,0,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,Male,90,1,Research Scientist,Very High,Single,2500,10515,0,Yes,No,14,Excellent,Low,4,2,4,3,1,0
243,19,1,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,Male,47,1,Laboratory Technician,Very High,Single,1102,9241,1,Yes,No,22,Outstanding,High,1,3,2,1,0,1
244,46,0,Travel_Rarely,526,Sales,1,College,Marketing,Female,92,3,Sales Executive,Low,Divorced,10453,2137,1,Yes,No,25,Outstanding,High,24,2,3,24,13,15
245,38,0,Travel_Rarely,1380,Research & Development,9,College,Life Sciences,Female,75,1,Laboratory Technician,Very High,Single,2288,6319,1,Yes,No,12,Excellent,High,2,3,3,2,2,2
246,31,0,Travel_Rarely,140,Research & Development,12,Below College,Medical,Female,95,1,Research Scientist,Very High,Married,3929,6984,8,Yes,Yes,23,Outstanding,High,7,0,3,4,2,0
247,34,0,Travel_Rarely,629,Research & Development,27,College,Medical,Female,95,1,Research Scientist,Medium,Single,2311,5711,2,Yes,No,15,Excellent,Very High,9,3,3,3,2,1
248,41,1,Travel_Rarely,1356,Sales,20,College,Marketing,Female,70,1,Sales Representative,Medium,Single,3140,21728,1,Yes,Yes,22,Outstanding,Very High,4,5,2,4,3,0
249,50,0,Travel_Rarely,328,Research & Development,1,Bachelor,Medical,Male,86,1,Laboratory Technician,High,Married,3690,3425,2,Yes,No,15,Excellent,Very High,5,2,2,3,2,0
250,53,0,Travel_Rarely,1084,Research & Development,13,College,Medical,Female,57,2,Manufacturing Director,Low,Divorced,4450,26250,1,Yes,No,11,Excellent,High,5,3,3,4,2,1
252,33,0,Travel_Rarely,931,Research & Development,14,Bachelor,Medical,Female,72,1,Research Scientist,Medium,Married,2756,4673,1,Yes,No,13,Excellent,Very High,8,5,3,8,7,1
253,40,0,Travel_Rarely,989,Research & Development,4,Below College,Medical,Female,46,5,Manager,High,Married,19033,6499,1,Yes,No,14,Excellent,Medium,21,2,3,20,8,9
254,55,0,Travel_Rarely,692,Research & Development,14,Master,Medical,Male,61,5,Research Director,Medium,Single,18722,13339,8,Yes,No,11,Excellent,Very High,36,3,3,24,15,2
256,34,0,Travel_Frequently,1069,Research & Development,2,Below College,Life Sciences,Male,45,2,Manufacturing Director,High,Married,9547,14074,1,Yes,No,17,Excellent,High,10,2,2,10,9,1
258,51,0,Travel_Rarely,313,Research & Development,3,Bachelor,Medical,Female,98,4,Healthcare Representative,Medium,Single,13734,7192,3,Yes,No,18,Excellent,High,21,6,3,7,7,1
259,52,0,Travel_Rarely,699,Research & Development,1,Master,Life Sciences,Male,65,5,Manager,High,Married,19999,5678,0,Yes,No,14,Excellent,Low,34,5,3,33,18,11
260,27,0,Travel_Rarely,894,Research & Development,9,Bachelor,Medical,Female,99,1,Research Scientist,Medium,Single,2279,11781,1,Yes,No,16,Excellent,Very High,7,2,2,7,7,0
261,35,1,Travel_Rarely,556,Research & Development,23,College,Life Sciences,Male,50,2,Manufacturing Director,High,Married,5916,15497,3,Yes,Yes,13,Excellent,Low,8,1,3,1,0,0
262,43,0,Non-Travel,1344,Research & Development,7,Bachelor,Medical,Male,37,1,Research Scientist,Very High,Divorced,2089,5228,4,Yes,No,14,Excellent,Very High,7,3,4,5,4,2
264,45,0,Non-Travel,1195,Research & Development,2,College,Medical,Male,65,4,Manager,Very High,Married,16792,20462,9,Yes,No,23,Outstanding,Very High,22,1,3,20,8,11
267,37,0,Travel_Rarely,290,Research & Development,21,Bachelor,Life Sciences,Male,65,1,Research Scientist,Low,Married,3564,22977,1,Yes,Yes,12,Excellent,Low,8,3,2,8,7,1
269,35,0,Travel_Frequently,138,Research & Development,2,Bachelor,Medical,Female,37,2,Laboratory Technician,Medium,Single,4425,15986,5,Yes,No,11,Excellent,Very High,10,5,3,6,2,1
270,42,0,Non-Travel,926,Research & Development,21,College,Medical,Female,36,2,Manufacturing Director,High,Divorced,5265,16439,2,Yes,No,16,Excellent,Medium,11,5,3,5,3,0
271,38,0,Travel_Rarely,1261,Research & Development,2,Master,Life Sciences,Male,88,2,Manufacturing Director,High,Married,6553,7259,9,Yes,No,14,Excellent,Medium,14,3,3,1,0,0
273,38,0,Travel_Rarely,1084,Research & Development,29,Bachelor,Technical Degree,Male,54,2,Manufacturing Director,Very High,Married,6261,4185,3,Yes,No,18,Excellent,Low,9,3,1,7,7,1
274,27,0,Travel_Frequently,472,Research & Development,1,Below College,Technical Degree,Male,60,2,Manufacturing Director,Low,Married,4298,9679,5,Yes,No,19,Excellent,High,6,1,3,2,2,2
275,49,0,Non-Travel,1002,Research & Development,18,Master,Life Sciences,Male,92,2,Manufacturing Director,Very High,Divorced,6804,23793,1,Yes,Yes,15,Excellent,Low,7,0,3,7,7,1
277,34,0,Travel_Frequently,878,Research & Development,10,Master,Medical,Male,43,1,Research Scientist,High,Divorced,3815,5972,1,Yes,Yes,17,Excellent,Very High,5,4,4,5,3,2
281,40,0,Travel_Rarely,905,Research & Development,19,College,Medical,Male,99,2,Laboratory Technician,Very High,Married,2741,16523,8,Yes,Yes,15,Excellent,High,15,2,4,7,2,3
282,38,1,Travel_Rarely,1180,Research & Development,29,Below College,Medical,Male,70,2,Healthcare Representative,Low,Married,6673,11354,7,Yes,Yes,19,Excellent,Medium,17,2,3,1,0,0
283,29,1,Travel_Rarely,121,Sales,27,Bachelor,Marketing,Female,35,3,Sales Executive,Very High,Married,7639,24525,1,Yes,No,22,Outstanding,Very High,10,3,2,10,4,1
284,22,0,Travel_Rarely,1136,Research & Development,5,Bachelor,Life Sciences,Male,60,1,Research Scientist,Medium,Divorced,2328,12392,1,Yes,Yes,16,Excellent,Low,4,2,2,4,2,2
286,36,0,Travel_Frequently,635,Research & Development,18,Below College,Medical,Female,73,1,Laboratory Technician,Very High,Single,2153,7703,1,Yes,No,13,Excellent,Low,8,2,3,8,1,1
287,40,0,Non-Travel,1151,Research & Development,9,Doctor,Life Sciences,Male,63,2,Healthcare Representative,Very High,Married,4876,14242,9,Yes,No,14,Excellent,Very High,5,5,1,3,2,0
288,46,0,Travel_Rarely,644,Research & Development,1,Master,Medical,Male,97,3,Healthcare Representative,Low,Divorced,9396,12368,7,Yes,No,16,Excellent,High,17,3,3,4,2,0
291,32,1,Travel_Rarely,1045,Sales,4,Master,Medical,Male,32,3,Sales Executive,Very High,Married,10400,25812,1,Yes,No,11,Excellent,High,14,2,2,14,8,9
292,30,0,Non-Travel,829,Research & Development,1,Below College,Life Sciences,Male,88,3,Manufacturing Director,High,Single,8474,20925,1,Yes,No,22,Outstanding,High,12,2,3,11,8,5
293,27,0,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,Female,90,2,Sales Executive,High,Single,9981,12916,1,Yes,No,14,Excellent,Very High,7,2,3,7,7,0
296,51,0,Travel_Rarely,1469,Research & Development,8,Master,Life Sciences,Male,81,3,Research Director,Medium,Married,12490,15736,5,Yes,No,16,Excellent,Very High,16,5,1,10,9,4
297,30,1,Travel_Rarely,1005,Research & Development,3,Bachelor,Technical Degree,Female,88,1,Research Scientist,Low,Single,2657,8556,5,Yes,Yes,11,Excellent,High,8,5,3,5,2,0
298,41,0,Travel_Rarely,896,Sales,6,Bachelor,Life Sciences,Female,75,3,Manager,Very High,Single,13591,14674,3,Yes,Yes,18,Excellent,High,16,3,3,1,0,0
299,30,1,Travel_Frequently,334,Sales,26,Master,Marketing,Female,52,2,Sales Executive,Low,Single,6696,22967,5,Yes,No,15,Excellent,High,9,5,2,6,3,0
300,29,1,Travel_Rarely,992,Research & Development,1,Bachelor,Technical Degree,Male,85,1,Research Scientist,High,Single,2058,19757,0,Yes,No,14,Excellent,Very High,7,1,2,6,2,1
302,45,0,Non-Travel,1052,Sales,6,Bachelor,Medical,Female,57,3,Sales Executive,Very High,Single,8865,16840,6,Yes,No,12,Excellent,Very High,23,2,3,19,7,12
303,54,0,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,Female,52,2,Sales Executive,Low,Married,5940,17011,2,Yes,No,14,Excellent,Very High,16,4,3,6,2,0
304,36,0,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,Male,62,2,Laboratory Technician,Medium,Single,5914,9945,8,Yes,No,16,Excellent,Very High,16,3,4,13,11,3
305,33,0,Travel_Rarely,147,Research & Development,4,Master,Medical,Female,47,1,Research Scientist,Medium,Married,2622,13248,6,Yes,No,21,Outstanding,Very High,7,3,3,3,2,1
306,37,0,Travel_Frequently,663,Research & Development,11,Bachelor,Other,Male,47,3,Research Director,Very High,Divorced,12185,10056,1,Yes,Yes,14,Excellent,High,10,1,3,10,8,0
307,38,0,Travel_Rarely,119,Sales,3,Bachelor,Life Sciences,Male,76,3,Sales Executive,High,Divorced,10609,9647,0,Yes,No,12,Excellent,High,17,6,2,16,10,5
308,31,0,Non-Travel,979,Research & Development,1,Master,Medical,Male,90,2,Manufacturing Director,High,Married,4345,4381,0,Yes,No,12,Excellent,Very High,6,2,3,5,4,1
309,59,0,Travel_Rarely,142,Research & Development,3,Bachelor,Life Sciences,Male,70,1,Research Scientist,Very High,Married,2177,8456,3,Yes,No,17,Excellent,Low,7,6,3,1,0,0
311,37,0,Travel_Frequently,319,Sales,4,Master,Marketing,Male,41,1,Sales Representative,Very High,Divorced,2793,2539,4,Yes,No,17,Excellent,High,13,2,3,9,8,5
312,29,0,Travel_Frequently,1413,Sales,1,Below College,Medical,Female,42,3,Sales Executive,Very High,Married,7918,6599,1,Yes,No,14,Excellent,Very High,11,5,3,11,10,4
314,35,0,Travel_Frequently,944,Sales,1,Bachelor,Marketing,Female,92,3,Sales Executive,High,Single,8789,9096,1,Yes,No,14,Excellent,Low,10,3,4,10,7,0
315,29,1,Travel_Rarely,896,Research & Development,18,Below College,Medical,Male,86,1,Research Scientist,Very High,Single,2389,14961,1,Yes,Yes,13,Excellent,High,4,3,2,4,3,0
316,52,0,Travel_Rarely,1323,Research & Development,2,Bachelor,Life Sciences,Female,89,1,Laboratory Technician,Very High,Single,3212,3300,7,Yes,No,15,Excellent,Medium,6,3,2,2,2,2
319,42,0,Travel_Rarely,532,Research & Development,4,College,Technical Degree,Male,58,5,Manager,Very High,Married,19232,4933,1,Yes,No,11,Excellent,Very High,22,3,3,22,17,11
321,59,0,Travel_Rarely,818,Human Resources,6,College,Medical,Male,52,1,Human Resources,High,Married,2267,25657,8,Yes,No,17,Excellent,Very High,7,2,2,2,2,2
323,50,0,Travel_Rarely,854,Sales,1,Master,Medical,Female,68,5,Manager,Very High,Divorced,19517,24118,3,Yes,No,11,Excellent,High,32,3,2,7,0,0
325,33,1,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,Male,58,1,Laboratory Technician,Very High,Married,2436,22149,5,Yes,Yes,13,Excellent,High,8,2,1,5,4,0
327,43,0,Travel_Rarely,1034,Sales,16,Bachelor,Marketing,Female,80,4,Manager,Very High,Married,16064,7744,5,Yes,Yes,22,Outstanding,High,22,3,3,17,13,1
328,33,1,Travel_Rarely,465,Research & Development,2,College,Life Sciences,Female,39,1,Laboratory Technician,Low,Married,2707,21509,7,Yes,No,20,Outstanding,Low,13,3,4,9,7,1
329,52,0,Non-Travel,771,Sales,2,Master,Life Sciences,Male,79,5,Manager,High,Single,19068,21030,1,Yes,Yes,18,Excellent,Very High,33,2,4,33,7,15
330,32,0,Travel_Rarely,1401,Sales,4,College,Life Sciences,Female,56,1,Sales Representative,Medium,Married,3931,20990,2,Yes,No,11,Excellent,Low,6,5,3,4,3,1
331,32,1,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,Male,62,1,Laboratory Technician,High,Single,3730,9571,0,Yes,Yes,14,Excellent,Very High,4,2,1,3,2,1
332,39,0,Travel_Rarely,1431,Research & Development,1,Master,Medical,Female,96,1,Laboratory Technician,High,Divorced,2232,15417,7,Yes,No,14,Excellent,High,7,1,3,3,2,1
333,32,0,Non-Travel,976,Sales,26,Master,Marketing,Male,100,2,Sales Executive,Very High,Married,4465,12069,0,Yes,No,18,Excellent,Low,4,2,3,3,2,2
334,41,0,Travel_Rarely,1411,Research & Development,19,College,Life Sciences,Male,36,2,Research Scientist,Low,Divorced,3072,19877,2,Yes,No,16,Excellent,Low,17,2,2,1,0,0
335,40,0,Travel_Rarely,1300,Research & Development,24,College,Technical Degree,Male,62,2,Research Scientist,Very High,Divorced,3319,24447,1,Yes,No,17,Excellent,Low,9,3,3,9,8,4
336,45,0,Travel_Rarely,252,Research & Development,1,Bachelor,Other,Male,70,5,Manager,Very High,Married,19202,15970,0,Yes,No,11,Excellent,High,25,2,3,24,0,1
337,31,0,Travel_Frequently,1327,Research & Development,3,Master,Medical,Male,73,3,Research Director,High,Divorced,13675,13523,9,Yes,No,12,Excellent,Low,9,3,3,2,2,2
338,33,0,Travel_Rarely,832,Research & Development,5,Master,Life Sciences,Female,63,1,Research Scientist,Very High,Married,2911,14776,1,Yes,No,13,Excellent,High,2,2,2,2,2,0
339,34,0,Travel_Rarely,470,Research & Development,2,Master,Life Sciences,Male,84,2,Manufacturing Director,Low,Married,5957,23687,6,Yes,No,13,Excellent,Medium,13,3,3,11,9,5
340,37,0,Travel_Rarely,1017,Research & Development,1,College,Medical,Female,83,1,Research Scientist,Low,Married,3920,18697,2,Yes,No,14,Excellent,Low,17,2,2,3,1,0
341,45,0,Travel_Frequently,1199,Research & Development,7,Master,Life Sciences,Male,77,2,Manufacturing Director,High,Married,6434,5118,4,Yes,No,17,Excellent,Very High,9,1,3,3,2,0
342,37,1,Travel_Frequently,504,Research & Development,10,Bachelor,Medical,Male,61,3,Manufacturing Director,High,Divorced,10048,22573,6,Yes,No,11,Excellent,Medium,17,5,3,1,0,0
343,39,0,Travel_Frequently,505,Research & Development,2,Master,Technical Degree,Female,64,3,Healthcare Representative,High,Single,10938,6420,0,Yes,No,25,Outstanding,Very High,20,1,3,19,6,11
346,29,0,Travel_Rarely,665,Research & Development,15,Bachelor,Life Sciences,Male,60,1,Research Scientist,Very High,Single,2340,22673,1,Yes,No,19,Excellent,Low,6,1,3,6,5,1
347,42,0,Travel_Rarely,916,Research & Development,17,College,Life Sciences,Female,82,2,Research Scientist,Low,Single,6545,23016,3,Yes,Yes,13,Excellent,High,10,1,3,3,2,0
349,29,0,Travel_Rarely,1247,Sales,20,College,Marketing,Male,45,2,Sales Executive,Very High,Divorced,6931,10732,2,Yes,No,14,Excellent,Very High,10,2,3,3,2,0
350,25,0,Travel_Rarely,685,Research & Development,1,Bachelor,Life Sciences,Female,62,2,Manufacturing Director,High,Married,4898,7505,0,Yes,No,12,Excellent,Very High,5,3,3,4,2,1
351,42,0,Travel_Rarely,269,Research & Development,2,Bachelor,Medical,Female,56,1,Laboratory Technician,Low,Divorced,2593,8007,0,Yes,Yes,11,Excellent,High,10,4,3,9,6,7
352,40,0,Travel_Rarely,1416,Research & Development,2,College,Medical,Male,49,5,Research Director,High,Divorced,19436,5949,0,Yes,No,19,Excellent,Very High,22,5,3,21,7,3
353,51,0,Travel_Rarely,833,Research & Development,1,Bachelor,Life Sciences,Male,96,1,Research Scientist,Very High,Married,2723,23231,1,Yes,No,11,Excellent,Medium,1,0,2,1,0,0
355,31,1,Travel_Frequently,307,Research & Development,29,College,Medical,Male,71,1,Laboratory Technician,Medium,Single,3479,11652,0,Yes,No,11,Excellent,Medium,6,2,4,5,4,1
359,32,0,Travel_Frequently,1311,Research & Development,7,Bachelor,Life Sciences,Male,100,1,Laboratory Technician,Medium,Married,2794,26062,1,Yes,No,20,Outstanding,High,5,3,1,5,1,0
361,38,0,Non-Travel,1327,Sales,2,College,Life Sciences,Male,39,2,Sales Executive,Very High,Married,5249,19682,3,Yes,No,18,Excellent,Very High,13,0,3,8,7,7
362,32,0,Travel_Rarely,128,Research & Development,2,Below College,Technical Degree,Male,84,2,Laboratory Technician,Low,Single,2176,19737,4,Yes,No,13,Excellent,Very High,9,5,3,6,2,0
363,46,0,Travel_Rarely,488,Sales,2,Bachelor,Technical Degree,Female,75,4,Manager,Medium,Married,16872,14977,3,Yes,Yes,12,Excellent,Medium,28,2,2,7,7,7
364,28,1,Travel_Rarely,529,Research & Development,2,Master,Life Sciences,Male,79,1,Laboratory Technician,High,Single,3485,14935,2,Yes,No,11,Excellent,High,5,5,1,0,0,0
366,29,0,Travel_Rarely,1210,Sales,2,Bachelor,Medical,Male,78,2,Sales Executive,Medium,Married,6644,3687,2,Yes,No,19,Excellent,Medium,10,2,3,0,0,0
367,31,0,Travel_Rarely,1463,Research & Development,23,Bachelor,Medical,Male,64,2,Healthcare Representative,Very High,Married,5582,14408,0,Yes,No,21,Outstanding,Medium,10,2,3,9,0,7
